id,area,texto,texto_limpio_nlp
1,Familia,El demandado incumplió de manera reiterada con la obligación alimentaria fijada a favor de sus hijos menores de edad.,incumplio reiterado obligacion alimentario fijado favor hijo menor edad
2,Familia,Se configura violencia económica cuando el cónyuge ejerce un control restrictivo y arbitrario sobre los recursos financieros del hogar.,configurar violencia economico conyuge ejercer control restrictivo arbitrario recurso financiero hogar
3,Familia,La actora solicita la cesación de efectos civiles de matrimonio católico por la causal de relaciones sexuales extramatrimoniales.,actora cesacion efecto civil matrimonio catolico causal relación sexual extramatrimonial
4,Familia,El principio del interés superior del menor obliga al juez a tomar medidas cautelares urgentes para proteger su integridad física y psicológica.,principio inter superior menor obliga juez tomar medida cautelar urgente proteger integridad fisico psicologico
5,Familia,La violencia patrimonial se evidenció al destruir los títulos de propiedad y enajenar los bienes de la sociedad conyugal sin autorización.,violencia patrimonial evidencio destruir titulo propiedad enajenar bien sociedad conyugal autorizacion
6,Familia,Se interpone demanda de impugnación de la paternidad debido a pruebas de ADN que descartan el vínculo biológico.,interponar demanda impugnacion paternidad prueba adn descartar vinculo biologico
7,Familia,La custodia y cuidado personal de la menor será ejercida de forma compartida por ambos progenitores según el acuerdo conciliatorio.,custodia cuidado personal menor ejercido forma compartido progenitor conciliatorio
8,Familia,El ICBF intervino en el proceso para restablecer los derechos de los niños que se encontraban en situación de abandono decretada.,icbf intervenir restablecer derecho nino encontrar situacion abandono decretado
9,Familia,Se solicita la liquidación de la sociedad patrimonial de hecho entre compañeros permanentes tras una convivencia mayor a dos años.,liquidacion sociedad patrimonial companero permanente convivencia ano
10,Familia,El juzgado de familia decretó la privación de la patria potestad del progenitor por maltrato habitual comprobado.,juzgado familia decreto privacion patria potestad progenitor maltrato habitual comprobado
11,Familia,La fijación de la cuota alimentaria provisional debe tasarse conforme a la capacidad económica del alimentante y la necesidad del menor.,fijacion cuota alimentario provisional tasar él conforme capacidad economico alimentante necesidad menor
12,Familia,"Existe una delgada línea entre la violencia económica y la patrimonial, por lo que el despacho analizará el dolo en la privación de recursos.",delgada line violencia economico patrimonial despacho analizar dolo privacion recurso
13,Familia,Se solicita la homologación del fallo de adopción consentida emitido por la defensoría de familia para garantizar el estado civil del menor.,homologacion fallo adopcion consentido emitido defensoria familia garantizar civil menor
14,Familia,La demandante exige la declaración judicial de la unión marital de hecho tras la separación definitiva de la pareja de compañeros.,exigir declaracion judicial union marital separacion definitivo pareja companero
15,Familia,Se interpone recurso de apelación contra la providencia que tasó de forma desproporcionada los gastos de educación y recreación del menor.,interponar recurso apelacion providencia taso forma desproporcionado gasto educacion recreacion menor
16,Laboral,El trabajador demanda el reconocimiento del contrato de realidad tras haber prestado servicios bajo continuada subordinación laboral.,trabajador demandar reconocimiento contrato realidad prestar servicio continuado subordinacion laboral
17,Laboral,"Se produjo un despido sin justa causa encontrándose la trabajadora en estado de embarazo, vulnerando el fuero de maternidad.",producir despido justa causa encontrar él trabajadora embarazo vulnerar fuero maternidad
18,Laboral,"La empresa omitió el pago de las acreencias laborales correspondientes a cesantías, intereses a las cesantías y vacaciones devengadas.",empresa omitio pago acreencia laboral correspondiente cesantia interés cesantia vacación devengada
19,Laboral,El actor argumenta acoso laboral por parte de su superior jerárquico mediante la asignación de cargas de trabajo desproporcionadas.,actor argumentar acoso laboral superior jerarquico asignacion carga trabajo desproporcionado
20,Laboral,Se solicita la indexación de la primera mesada pensional debido a la pérdida del poder adquisitivo de la moneda a lo largo del tiempo.,indexacion mesada pensional perdida adquisitivo moneda tiempo
21,Laboral,La administradora de fondos de pensiones Colpensiones negó el reconocimiento de la pensión de invalidez argumentando falta de semanas.,administradora fondo pensión colpensión nego reconocimiento pension invalidez argumentar falta semana
22,Laboral,El fuero sindical protege a los miembros de la junta directiva de ser despedidos o desmejorados en sus condiciones sin previa calificación judicial.,fuero sindical proteger miembro junta directivo despedir desmejorado condición previo calificacion judicial
23,Laboral,Se demostró el nexo causal entre la enfermedad degenerativa del operario y las funciones físicas ejecutadas en la planta de producción.,demostro nexo causal enfermedad degenerativo operario función fisica ejecutado planta produccion
24,Laboral,La UGPP impuso una sanción pecuniaria a la empresa por la inexactitud en los aportes al sistema de seguridad social integral.,ugpp imponer sancion pecuniario empresa inexactitud aporte sistema seguridad social integral
25,Laboral,"El contrato de prestación de servicios civiles desnaturalizó la relación de trabajo genuina, configurando un claro contrato realidad.",contrato prestacion servicio civil desnaturalacer relacion trabajo genuín configurar contrato realidad
26,Laboral,El trabajador reclama el pago de horas extras dominicales y festivos que fueron laborados y no reportados en las planillas oficiales.,trabajador reclamar pago hora extra dominical festivo laborar reportado planilla oficial
27,Laboral,La terminación unilateral del vínculo laboral por mutuo acuerdo se encuentra viciada por coacción del empleador bajo amenaza de despido.,terminacion unilateral vinculo laboral mutuo viciado coaccion empleador amenaza despido
28,Laboral,Se solicita la reliquidación pensional incluyendo los factores salariales devengados en el último año de servicios del servidor público.,reliquidacion pensional incluir factor salarial devengado ano servicio servidor publico
29,Laboral,La parte demandada exceptúa falta de legitimación en la causa por pasiva al no haber sido el empleador directo del accionante.,demandado exceptuo falta legitimacion causa pasiva empleador directo accionante
30,Laboral,El sindicato convoca a huelga imputable al empleador debido a los reiterados incumplimientos en la convención colectiva de trabajo vigente.,sindicato convocar huelga imputable empleador reiterado incumplimiento convencion colectivo trabajo vigente
31,Civil,Se interpone acción de rescisión por lesión enorme al haberse enajenado el inmueble por menos de la mitad de su justo precio.,interponar accion rescision lesion enorme haber él enajenar inmueble mitad justo precio
32,Civil,La parte demandante exige el pago de los perjuicios materiales en sus modalidades de daño emergente y lucro cesante por accidente de tránsito.,exigir pago perjuicio material modalidad dano emergente lucrir cesante accidente transito
33,Civil,Se solicita la declaración de prescripción extraordinaria adquisitiva de dominio sobre el bien inmueble que ha poseído por más de diez años.,declaracion prescripcion extraordinario adquisitivo dominio inmueble poseer ano
34,Civil,Incumplimiento contractual derivado de la falta de entrega de la maquinaria industrial en la fecha estipulada en la promesa de compraventa.,incumplimiento contractual derivado falta entrega maquinaria industrial fecha estipulado promesa compraventa
35,Civil,La aseguradora objetó la reclamación civil argumentando que el siniestro ocurrió bajo una de las causales de exclusión expresa de la póliza.,aseguradora objeto reclamacion civil argumentar siniestro ocurrio causal exclusion expreso poliza
